tid,seatNumber,price,passportID,rid,fid,fctype
1,152,574,55065,1477,TW2793,Gold,['J']
2,259,858,28275,2559,M350,Gold,['J']
3,108,334,71931,2377,WG1154,NULL,['Y+']
4,173,840,18894,3278,QO2404,NULL,['FC']
5,191,528,134988,421,ZW2723,Silver,['Y+']
6,110,883,132582,650,KH2202,Gold,['Y']
7,159,154,98631,3257,9E3839,NULL,['Y']
8,233,289,32391,1569,VE2852,NULL,['J']
9,102,375,56622,1839,Q41684,NULL,['FC']
10,298,715,39402,3241,6V2205,Platinum,['J']
11,283,662,90537,3917,1E2192,Gold,['Y']
12,158,215,117699,3009,9O1066,NULL,['Y']
13,267,652,10230,1307,KQ3079,Gold,['Y']
14,171,611,78420,406,GE1179,Platinum,['Y']
15,135,934,47046,2862,TA1353,NULL,['Y']
16,131,1011,74520,1546,WG1154,Gold,['J']
17,179,795,140847,2414,FJ3026,NULL,['Y']
18,158,1170,52455,689,MH1349,NULL,['Y']
19,298,283,67302,1965,ON3768,Platinum,['Y']
20,265,783,138876,1103,Q51012,NULL,['Y']
21,206,592,148245,2884,V81320,Platinum,['FC']
22,128,766,34947,1415,W21880,NULL,['FC']
23,167,705,111045,2362,SQ3678,Silver,['Y']
24,232,1192,67944,2420,SL3568,NULL,['J']
25,165,624,2436,2436,9T3626,Gold,['FC']
26,170,244,58446,662,SG3583,NULL,['FC']
27,102,927,127146,653,Q4577,Platinum,['Y+']
28,293,827,20340,686,MY3731,Platinum,['Y+']
29,277,1209,96567,3454,MC3917,NULL,['FC']
30,194,296,6072,329,XO3952,NULL,['Y+']
31,217,323,43509,1965,V11166,NULL,['J']
32,220,779,90504,867,4Y1214,NULL,['Y']
33,277,395,149364,807,7Y481,Explorer,['J']
34,183,317,59703,2820,TI872,Explorer,['FC']
35,299,619,143694,141,EH1009,Explorer,['Y+']
36,297,422,71355,602,FR3219,Silver,['J']
37,113,1000,20001,3301,L73738,Explorer,['Y']
38,105,1162,59022,1895,P5802,Platinum,['J']
39,133,141,69903,1847,RA1794,NULL,['Y+']
40,221,269,14127,2374,IS2497,NULL,['Y+']
41,276,1152,54567,2317,J6155,Explorer,['FC']
42,136,756,113433,425,EE3522,Explorer,['FC']
43,151,663,15096,3755,H11178,NULL,['FC']
44,113,1193,42597,965,LQ2035,NULL,['Y+']
45,255,789,34326,1489,9A240,Platinum,['Y']
46,131,544,80517,2,RQ3894,Explorer,['Y+']
47,210,658,141201,1777,HP1913,Silver,['FC']
48,190,832,93456,2584,NO3383,NULL,['Y+']
49,222,720,127908,3240,DU3050,NULL,['Y+']
50,255,739,92982,2613,N9151,NULL,['Y']
51,111,549,65091,14,W6689,NULL,['Y']
52,152,280,126936,649,QO3095,Silver,['Y']
53,163,1224,101235,383,UO2312,NULL,['Y']
54,132,425,113331,995,N8975,NULL,['Y+']
55,144,769,7704,910,JC2773,NULL,['FC']
56,233,290,53025,3693,N51005,Platinum,['Y+']
57,173,1222,86523,690,G81765,NULL,['J']
58,285,325,27939,373,0E788,Explorer,['J']
59,148,765,8964,2497,VA2555,Gold,['Y']
60,155,1117,118074,723,H33188,Gold,['FC']
61,287,431,124920,3592,J5752,NULL,['J']
62,252,977,142830,1508,4Y3019,Silver,['J']
63,125,970,106878,802,3D870,Platinum,['Y+']
64,150,1006,80067,3725,JU3891,Platinum,['FC']
65,194,131,924,3382,WK2778,NULL,['Y']
66,228,245,59667,2777,6K2673,Silver,['FC']
67,124,862,148215,1873,NA1497,NULL,['Y']
68,235,1206,5310,2483,2A1431,Gold,['FC']
69,185,1239,50463,3218,VA3099,Explorer,['J']
70,245,622,75879,2434,TJ96,Gold,['J']
71,163,1106,2016,1258,EQ2982,Gold,['J']
72,254,725,117630,1790,U92360,Silver,['Y']
73,231,881,98997,2138,WJ883,Explorer,['FC']
74,154,980,19227,3773,F32804,NULL,['Y+']
75,185,460,33183,439,IM2218,Silver,['Y+']
76,294,462,137019,3300,IE1460,NULL,['FC']
77,143,1155,106719,2175,KD2274,Explorer,['J']
78,124,520,20478,2137,OE458,Explorer,['Y']
79,288,964,104583,2049,\\'2197,NULL,['Y']
80,184,139,94974,308,W91480,NULL,['Y+']
81,262,538,64551,1228,QJ2992,NULL,['Y']
82,200,577,20217,1799,RS1318,Explorer,['Y']
83,240,677,10533,2482,RL355,NULL,['J']
84,262,570,2550,3602,YZ3372,Explorer,['J']
85,255,667,86934,641,H41465,Platinum,['Y+']
86,179,170,117396,770,BC3799,NULL,['FC']
87,172,897,143166,2736,C51654,NULL,['Y']
88,265,1219,119181,3131,EV9,Silver,['FC']
89,292,707,87774,330,7W2269,NULL,['J']
90,116,600,25095,3086,OJ1210,NULL,['Y']
91,224,1113,20775,1296,2T3335,NULL,['J']
92,102,1123,6936,799,SF2515,NULL,['Y+']
93,174,536,86685,2982,BP3433,NULL,['Y']
94,283,102,65847,1431,EE3265,Platinum,['FC']
95,283,778,53217,1003,UY2352,NULL,['J']
96,274,411,69408,3491,GD2542,NULL,['Y']
97,152,497,3165,384,VH1021,Gold,['Y']
98,163,976,106065,2163,2X2467,Silver,['Y']
99,272,927,22683,2400,PF3290,Platinum,['Y']
100,288,243,20604,3921,7Z3712,NULL,['J']
101,273,155,23589,2400,OB1164,NULL,['Y+']
102,284,672,118599,2962,1I1882,NULL,['Y']
103,258,188,1089,67,EQ2982,NULL,['J']
104,291,584,17049,2962,H53201,Silver,['J']
105,255,251,143859,2004,K83239,Silver,['J']
106,211,1123,131760,852,4P2346,NULL,['FC']
107,120,467,16380,2662,QP2977,NULL,['Y+']
108,268,429,53124,115,++2960,Platinum,['Y']
109,180,1137,115971,1425,OT3108,Gold,['J']
110,179,1300,146670,1059,RR3702,Platinum,['Y']
111,156,657,69702,1301,L3995,NULL,['Y']
112,244,261,90741,372,12359,NULL,['Y']
113,292,367,51072,776,RK3878,Explorer,['Y']
114,150,477,8382,349,K43916,NULL,['J']
115,227,195,76281,1270,2U912,NULL,['Y+']
116,300,1209,103740,3016,BM1350,Gold,['FC']
